"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels"
"717","Issue","Accepted","TechReview","PySRead","Zoom.Quiet","[PySRead]示范提案","Component-PySRead, Milestone-TechReview, Priority-Word, Type-Issue"
"1101","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第36页顶部，""ls  -l"" 间空格不明显","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Issue"
"1102","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第37页中部，ntfs和GNU中间断开","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Issue"
"1103","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第50页顶部，建议给“提问的智慧”加个连接","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Issue"
"1104","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第67页底部，代码行数不正确","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Issue"
"1105","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第72页顶部，类名首字大写","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Defect"
"1106","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第87页中部，“命令”改“运行”","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Defect"
"1107","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第106页中部，alert(""Include KO!"")前后的引号","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Defect"
"1108","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第137页中部，PythyonIc 怀疑写错了。","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Defect"
"1109","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第138页底部，Include()Karrigell间分开","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Defect"
"1110","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第141页底部，“以JS行动按钮”没理解。","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Defect"
"1111","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第198页底部，“if greeting == True”重复了2次。","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Issue"
"1112","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第202页顶部，“Sound/  Formats/”包名大写了。","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Defect"
"1113","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第249页中部，“也须”程度不明。","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Defect"
"1114","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第285页顶部，dict4Ini 全小写。","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Defect"
"1115","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第p315页顶部，区号是啥意思。","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Defect"
"1116","Defect","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第p316页顶部，Socket 上下文大小写一直。","Component-LovePy, Milestone-PubReview, Priority-Code, Type-Defect"
"1117","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第320页中部，“除里”是别字。","Component-LovePy, Milestone-PubReview, Priority-Word, Type-Issue"
"1118","Issue","Accepted","PubReview","LovePy","xg.lisa","[LovPy:0] 第337页顶部，“克隆(clone)，快捷键” 漏掉。","Component-LovePy, Milestone-PubReview, Priority-Medium, Type-Issue"
