"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"301","Defect","Fixed","","","moonsolo","[corepy2]ch3 line 287-337补译","Priority-Chapter, Type-Defect","moonsolo"
"302","Defect","Fixed","","","moonsolo","[CorePy2]ch03 rest ","Priority-Paragraph, Priority-Sentence, Priority-Word, Type-Defect","moonsolo"
"303","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch17-line 235","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"304","Issue","Fixed","Review2","CorePy2","Angeloliu","  [CorePy2]ch11  前半部分 0-1198  ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"305","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch17-line 681","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"306","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch17-line 692","Component-CorePy2, Milestone-Review3, Priority-Paragraph, Type-Defect","Filia.Tao"
"307","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch17-line 711","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"308","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch17-line 711","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"309","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch17-line 1210","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"310","Issue","Fixed","Review2","CorePy2","shizhensong","[CorePy2]ch20-6 1364行","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","shizhensong"
"311","Issue","Fixed","Review2","CorePy2","shizhensong","[CorePy2]ch20-6 1367行","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","shizhensong"
"312","Enhancement","Fixed","Review3","CorePy2","shizhensong","[CorePy2]ch20-6 1377行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Enhancement","shizhensong"
"313","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] Chap14.3","Component-CorePy2, Milestone-Review2, Priority-Medium, Priority-Word, Type-Enhancement","wenliang.lu"
"314","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap14.4","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Enhancement","wenliang.lu"
"315","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap14.5.1-14.5.5","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Enhancement","wenliang.lu"
